Time (s),Ay (m/s²),Fᵧ (N)
13.010000228881836,-13.753645896911621,-0.818813145160675
13.015000343322754,-13.893143653869629,-0.8349969983100891
13.020000457763672,-13.971757888793945,-0.8520799279212952
13.024999618530273,-14.012235641479492,-0.8682637810707092
13.029999732971191,-14.087204933166504,-0.8844476342201233
13.03499984741211,-14.177115440368652,-0.8992828726768494
13.039999961853027,-14.225701332092285,-0.9132189154624939
13.045000076293945,-14.312432289123535,-0.9249072670936584
13.050000190734863,-14.370399475097656,-0.9329992532730103
13.055000305175781,-14.388415336608887,-0.9406415224075317
13.0600004196167,-14.427399635314941,-0.9500821828842163
13.0649995803833,-14.441553115844727,-0.9590731859207153
13.069999694824219,-14.48229694366455,-0.9653668999671936
13.074999809265137,-14.495965957641602,-0.9689633250236511
13.079999923706055,-14.497122764587402,-0.9676147103309631
13.085000038146973,-14.494297981262207,-0.9667155742645264
13.09000015258789,-14.482954978942871,-0.9703119993209839
13.095000267028809,-14.472978591918945,-0.9703119993209839
13.100000381469727,-14.447325706481934,-0.9653668999671936
13.104999542236328,-14.321434020996094,-0.9608713388442993
13.109999656677246,-14.288901329040527,-0.9545776844024658
13.114999771118164,-14.350699424743652,-0.9491830468177795
13.119999885559082,-14.284647941589355,-0.9428892731666565
13.125,-14.214335441589355,-0.9325495958328247
13.130000114440918,-14.171026229858398,-0.9199622273445129
13.135000228881836,-14.13485336303711,-0.9069252014160156
13.140000343322754,-14.042623519897461,-0.8961359858512878
13.145000457763672,-13.972501754760742,-0.8813008069992065
13.149999618530273,-13.871854782104492,-0.861070990562439
13.154999732971191,-13.632765769958496,-0.8435384631156921
13.15999984741211,-13.652297019958496,-0.8273546099662781
13.164999961853027,-13.562548637390137,-0.8093725442886353
13.170000076293945,-13.493118286132812,-0.7864454388618469
13.175000190734863,-13.356436729431152,-0.7630687952041626
13.180000305175781,-13.227380752563477,-0.7401416301727295
13.1850004196167,-13.04736328125,-0.7163154482841492
13.1899995803833,-12.798809051513672,-0.6906909942626953
13.194999694824219,-12.780138969421387,-0.6659656763076782
13.199999809265137,-12.658219337463379,-0.6407908797264099
13.204999923706055,-12.479118347167969,-0.6124691963195801
13.210000038146973,-12.32597827911377,-0.5868447422981262
13.21500015258789,-12.18163776397705,-0.5594221353530884
13.220000267028809,-12.00234317779541,-0.528403103351593
13.225000381469727,-11.754605293273926,-0.4960353672504425
13.229999542236328,-11.581877708435059,-0.4636676609516144
13.234999656677246,-11.451936721801758,-0.43219903111457825
13.239999771118164,-11.316798210144043,-0.4007304608821869
13.244999885559082,-11.16209602355957,-0.3679131865501404
13.25,-11.010784149169922,-0.3341968357563019
13.255000114440918,-10.804267883300781,-0.30182912945747375
13.260000228881836,-10.50702953338623,-0.27305787801742554
13.265000343322754,-10.489395141601562,-0.24833256006240845
13.270000457763672,-10.26656723022461,-0.21956129372119904
13.274999618530273,-10.067575454711914,-0.18629448115825653
13.279999732971191,-9.879287719726562,-0.1539267748594284
13.28499984741211,-9.72242259979248,-0.12290773540735245
13.289999961853027,-9.481000900268555,-0.08829227834939957
13.295000076293945,-9.325901985168457,-0.04873175919055939
13.300000190734863,-8.922313690185547,-0.012318101711571217
13.305000305175781,-8.95748519897461,0.019600043073296547
13.3100004196167,-8.861478805541992,0.0483713299036026
13.3149995803833,-8.583900451660156,0.07939037680625916
13.319999694824219,-8.358759880065918,0.11310672760009766
13.324999809265137,-8.197131156921387,0.14817170798778534
13.329999923706055,-8.043575286865234,0.17604389786720276
13.335000038146973,-7.846673488616943,0.20886115729808807
13.34000015258789,-7.70511531829834,0.24257749319076538
13.345000267028809,-7.533259868621826,0.2708992660045624
13.350000381469727,-7.416243076324463,0.2992209792137146
13.354999542236328,-7.232097148895264,0.32979050278663635
13.359999656677246,-7.089818000793457,0.35991042852401733
13.364999771118164,-6.909004211425781,0.3859843909740448
13.369999885559082,-6.767205715179443,0.41160884499549866
13.375,-6.4690093994140625,0.4390314519405365
13.380000114440918,-6.482333660125732,0.4669036269187927
13.385000228881836,-6.358333110809326,0.4920785427093506
13.390000343322754,-6.233708381652832,0.5123083591461182
13.395000457763672,-6.158412933349609,0.5334372520446777
13.399999618530273,-5.9674201011657715,0.5532175302505493
13.404999732971191,-5.909556865692139,0.5720986723899841
13.40999984741211,-5.817806243896484,0.5882825255393982
13.414999961853027,-5.744930267333984,0.6031177639961243
13.420000076293945,-5.650876522064209,0.6202006936073303
13.425000190734863,-5.573731899261475,0.6363845467567444
13.430000305175781,-5.51700496673584,0.6485224366188049
13.4350004196167,-5.426247596740723,0.6597612500190735
13.4399995803833,-5.341541290283203,0.673247754573822
13.444999694824219,-5.296954154968262,0.6871838569641113
13.449999809265137,-5.299261093139648,0.6952757835388184
13.454999923706055,-5.221012115478516,0.6993217468261719
13.460000038146973,-5.189088344573975,0.7056155204772949
13.46500015258789,-5.175271034240723,0.7137073874473572
13.470000267028809,-5.185880184173584,0.7173038125038147
13.475000381469727,-5.183060646057129,0.7177533507347107
13.479999542236328,-5.174708843231201,0.7173038125038147
13.484999656677246,-5.163784503936768,0.7177533507347107
13.489999771118164,-5.208702087402344,0.7182028889656067
13.494999885559082,-5.179184913635254,0.7150560021400452
13.5,-5.189029216766357,0.7096614837646484
13.505000114440918,-5.238455772399902,0.7033677101135254
13.510000228881836,-5.304512977600098,0.6952758431434631
13.515000343322754,-5.343478679656982,0.6858352422714233
13.520000457763672,-5.408714294433594,0.6763946413993835
13.524999618530273,-5.495098114013672,0.665605366230011
13.529999732971191,-5.614174842834473,0.6530179381370544
13.53499984741211,-5.756229400634766,0.6404305100440979
13.539999961853027,-5.618645191192627,0.6269439458847046
13.545000076293945,-5.922440528869629,0.6089619398117065
