Time (s),Ay (m/s²),Fᵧ (N)
7.070000171661377,-9.067442893981934,0.4981665313243866
7.074999809265137,-8.75294303894043,0.515699028968811
7.079999923706055,-8.36429500579834,0.5314332842826843
7.085000038146973,-8.698163986206055,0.5467180609703064
7.090000152587891,-8.425192832946777,0.5629019141197205
7.09499979019165,-8.200298309326172,0.5804343819618225
7.099999904632568,-8.367905616760254,0.5934714078903198
7.105000019073486,-8.143556594848633,0.6092056632041931
7.110000133514404,-7.953430652618408,0.6289859414100647
7.114999771118164,-8.359051704406738,0.6469680070877075
7.119999885559082,-7.703742027282715,0.6649500727653503
7.125,-7.617133140563965,0.6811339259147644
7.130000114440918,-8.283682823181152,0.6950700283050537
7.135000228881836,-7.102203845977783,0.7099052667617798
7.139999866485596,-7.640678882598877,0.7242909073829651
7.144999980926514,-7.8304829597473145,0.7386764883995056
7.150000095367432,-7.276613235473633,0.7580071687698364
7.15500020980835,-7.141932010650635,0.7732919454574585
7.159999847412109,-7.608447551727295,0.784980297088623
7.164999961853027,-6.7585272789001465,0.8011641502380371
7.170000076293945,-7.165055751800537,0.8151002526283264
7.175000190734863,-7.2633514404296875,0.8281371593475342
7.179999828338623,-7.093526840209961,0.844770610332489
7.184999942779541,-6.8952460289001465,0.8587067723274231
7.190000057220459,-7.133397579193115,0.8681473135948181
7.195000171661377,-6.520705223083496,0.8793861269950867
7.199999809265137,-6.5721025466918945,0.8928726315498352
7.204999923706055,-6.9194512367248535,0.9045609831809998
7.210000038146973,-6.429624080657959,0.9149006605148315
7.215000152587891,-6.584815502166748,0.9265890121459961
7.21999979019165,-6.746783256530762,0.9355800747871399
7.224999904632568,-6.2145609855651855,0.9450206160545349
7.230000019073486,-6.426347255706787,0.9549107551574707
7.235000133514404,-6.607999324798584,0.9634522199630737
7.239999771118164,-6.13492488861084,0.9746910333633423
7.244999885559082,-6.237634181976318,0.9814342856407166
7.25,-6.349091529846191,0.9877280592918396
7.255000114440918,-5.9534406661987305,0.9962694644927979
7.260000228881836,-6.219608306884766,1.0012145042419434
7.264999866485596,-6.2753095626831055,1.0070585012435913
7.269999980926514,-6.029599666595459,1.0138018131256104
7.275000095367432,-6.361812114715576,1.0156000852584839
7.28000020980835,-6.01400089263916,1.0160496234893799
7.284999847412109,-5.985752105712891,1.0191965103149414
7.289999961853027,-6.284657001495361,1.0214442014694214
7.295000076293945,-6.102874279022217,1.021893858909607
7.300000190734863,-6.057004451751709,1.0205451250076294
7.304999828338623,-6.345702648162842,1.0200955867767334
7.309999942779541,-6.199571132659912,1.0223432779312134
7.315000057220459,-6.239719867706299,1.0214442014694214
7.320000171661377,-6.464298725128174,1.0187469720840454
7.324999809265137,-6.2223052978515625,1.0205451250076294
7.329999923706055,-6.345530033111572,1.0205451250076294
7.335000038146973,-6.590367794036865,1.0178478956222534
7.340000152587891,-6.3106465339660645,1.0138019323349
7.34499979019165,-6.335824966430664,1.0093063116073608
7.349999904632568,-6.588428974151611,1.0043612718582153
7.355000019073486,-6.37544584274292,0.9998658895492554
7.360000133514404,-6.393859386444092,0.9949207901954651
7.364999771118164,-6.797614097595215,0.9886271357536316
7.369999885559082,-6.559357643127441,0.9809847474098206
7.375,-6.552154541015625,0.9733423590660095
7.380000114440918,-6.8603386878967285,0.962103545665741
7.385000228881836,-6.54226016998291,0.9544612169265747
7.389999866485596,-6.806644439697266,0.9450206160545349
7.394999980926514,-7.0112223625183105,0.9319835901260376
7.400000095367432,-6.842248439788818,0.9247907996177673
7.40500020980835,-6.780524730682373,0.9175980091094971
7.409999847412109,-7.18738317489624,0.9081574082374573
7.414999961853027,-6.920736789703369,0.8987168073654175
7.420000076293945,-7.105871200561523,0.8829824924468994
7.425000190734863,-7.407790660858154,0.8685968518257141
7.429999828338623,-7.082369327545166,0.8605049252510071
7.434999942779541,-7.331838607788086,0.8479174971580505
7.440000057220459,-7.675027847290039,0.8335317969322205
7.445000171661377,-7.43718957901001,0.8258894681930542
7.449999809265137,-7.3744025230407715,0.8164488673210144
7.454999923706055,-7.775195121765137,0.8007146120071411
7.460000038146973,-7.4762678146362305,0.7836316227912903
7.465000152587891,-7.749802112579346,0.769695520401001
7.46999979019165,-7.853686809539795,0.7548603415489197
7.474999904632568,-7.9595770835876465,0.7418233156204224
7.480000019073486,-8.036001205444336,0.7305845618247986
7.485000133514404,-7.938127040863037,0.7184467315673828
7.489999771118164,-8.160055160522461,0.7031620144844055
7.494999885559082,-8.37934398651123,0.6851798892021179
7.5,-8.001667976379395,0.6707942485809326
7.505000114440918,-8.448945045471191,0.6568581461906433
7.510000228881836,-8.790240287780762,0.6411238312721252
7.514999866485596,-8.27480697631836,0.6289859414100647
7.519999980926514,-8.64317512512207,0.6177471876144409
7.525000095367432,-8.781122207641602,0.6029120087623596
7.53000020980835,-8.699893951416016,0.5912236571311951
7.534999847412109,-8.657035827636719,0.5786362290382385
7.539999961853027,-9.092702865600586,0.5655992031097412
7.545000076293945,-8.964682579040527,0.5534613728523254
7.550000190734863,-8.87905502319336,0.5386261343955994
7.554999828338623,-9.075887680053711,0.526038646697998
7.559999942779541,-9.276322364807129,0.5139008164405823
7.565000057220459,-9.081180572509766,0.5017629265785217
7.570000171661377,-9.19130802154541,0.4878268837928772
7.574999809265137,-9.549307823181152,0.47164303064346313
7.579999923706055,-9.119925498962402,0.4590555727481842
7.585000038146973,-9.427912712097168,0.45186275243759155
7.590000152587891,-9.720638275146484,0.44197261333465576
7.59499979019165,-9.426734924316406,0.4257887303829193
7.599999904632568,-9.499106407165527,0.41365084052085876
7.605000019073486,-9.822842597961426,0.4069075584411621
7.610000133514404,-9.61522102355957,0.3970174491405487
7.614999771118164,-9.709141731262207,0.38622820377349854
7.619999885559082,-9.961803436279297,0.37588855624198914
7.625,-9.763870239257812,0.3677966296672821
7.630000114440918,-9.883769989013672,0.36150291562080383
7.635000228881836,-10.025629043579102,0.35655784606933594
7.639999866485596,-9.818827629089355,0.3480163514614105
7.644999980926514,-9.924747467041016,0.34172263741493225
7.650000095367432,-10.049947738647461,0.3385757803916931
